feature,anova_F,anova_p,kruskal_H,kruskal_p,anova_p_holm,kruskal_p_holm
fw_some,2.04896808694562,0.13413898669620933,3.746361343702909,0.15363422380582617,1.0,1.0
fw_my,2.026740277788328,0.1370369003264254,1.467583804273635,0.4800850985554366,1.0,1.0
fw_herself,1.8655001872951953,0.1600624105921474,2.9851150144107215,0.22479699978464848,1.0,1.0
fw_further,1.863815929111248,0.160322699492008,4.038461538461905,0.13275754700278797,1.0,1.0
fw_for,1.810540334160236,0.16878265684639746,4.982465803061901,0.08280780973805181,1.0,1.0
fw_very,1.8096756839856283,0.1689236515199527,3.576238138567681,0.16727450570802585,1.0,1.0
fw_but,1.7597765835348513,0.17726730510044014,4.015133565227021,0.13431509520661675,1.0,1.0
fw_were,1.753676384923639,0.17831575121804089,4.350983118571583,0.11355232225123581,1.0,1.0
fw_each,1.7150627958428453,0.1851006069488037,2.3401181639144943,0.31034860472081494,1.0,1.0
fw_few,1.65242743813463,0.19667115499349758,2.9851150144107215,0.22479699978464848,1.0,1.0
fw_above,1.610452206125633,0.2048354921085743,1.1932224347988027,0.5506745942146334,1.0,1.0
fw_as,1.566843193702093,0.21368411191335024,1.0877659127217822,0.5804898538097258,1.0,1.0
fw_until,1.551349652162244,0.21692089720400395,3.143128533735671,0.20771999857466342,1.0,1.0
fw_both,1.4448498677919173,0.24056575739709626,2.8990997216866137,0.23467590113396455,1.0,1.0
fw_why,1.4308438654691416,0.24386515503461115,2.886482136059441,0.23616110276121402,1.0,1.0
fw_those,1.4272658179999562,0.24471541161237595,2.962705591566408,0.22732994927988145,1.0,1.0
fw_am,1.3950719274249506,0.25250297285221057,2.777133721594231,0.249432520123829,1.0,1.0
fw_then,1.3697670746450705,0.25880116329912184,1.2141875224524223,0.5449322732940315,1.0,1.0
fw_where,1.3160482175784074,0.27270775036607653,2.6709011859740848,0.263039624938707,1.0,1.0
fw_would,1.1903805313001214,0.30829419515848455,2.9393923193442912,0.22999535643583913,1.0,1.0
fw_any,1.167029009473921,0.31541162220360625,2.3706348766288223,0.30564913934979965,1.0,1.0
